qseqid,sseqid,length,qcovs,pident,evalue,staxids,stitle
unassigned_0,gi|343201039|ref|NR_041726.1|,228,99,73.246,7.45e-30,1022,Beggiatoa alba strain B18LD 16S ribosomal RNA, partial sequence
unassigned_0,gi|343198433|ref|NR_041814.1|,228,99,73.246,7.45e-30,415,Methylobacter luteus strain NCIMB 11914 16S ribosomal RNA, partial sequence
unassigned_0,gi|1384992336|ref|NR_156085.1|,228,99,72.807,9.08e-29,288004,Beggiatoa leptomitoformis strain D-402 16S ribosomal RNA, partial sequence
unassigned_0,gi|602269297|ref|NR_044848.2|,228,99,72.807,9.08e-29,39776,Methylomicrobium pelagicum strain ACM 3505 16S ribosomal RNA, partial sequence
unassigned_0,gi|265678934|ref|NR_029242.1|,228,99,72.807,9.08e-29,39770,Methylobacter whittenburyi strain 1521 16S ribosomal RNA, partial sequence
unassigned_0,gi|219857544|ref|NR_025132.1|,228,99,72.368,3.17e-28,34058,Methylobacter marinus strain A45 16S ribosomal RNA, partial sequence
unassigned_0,gi|566085183|ref|NR_108987.1|,228,99,71.930,4.70e-26,867345,Ectothiorhodospira magna strain B7-7 16S ribosomal RNA, partial sequence
unassigned_0,gi|343202956|ref|NR_043450.1|,228,99,71.491,2.00e-24,81932,Methylomicrobium japanense strain NI 16S ribosomal RNA, partial sequence
unassigned_0,gi|959494919|ref|NR_133783.1|,228,99,71.491,2.00e-24,980561,Methylomonas lenta strain R-45377 16S ribosomal RNA, partial sequence
unassigned_0,gi|566085154|ref|NR_108887.1|,228,99,71.491,2.00e-24,1173101,Methylomonas paludis strain MG30 16S ribosomal RNA, partial sequence
unassigned_1,gi|645320086|ref|NR_117377.1|,146,58,77.397,2.52e-24,79681,Tissierella creatinophila strain DSM 6911 16S ribosomal RNA, partial sequence
unassigned_1,gi|645320086|ref|NR_117377.1|,19,58,94.737,6.8,79681,Tissierella creatinophila strain DSM 6911 16S ribosomal RNA, partial sequence
unassigned_1,gi|310975164|ref|NR_037028.1|,146,58,77.397,2.52e-24,79681,Tissierella creatinophila strain Kre4 16S ribosomal RNA gene, partial sequence
unassigned_1,gi|310975164|ref|NR_037028.1|,19,58,94.737,6.8,79681,Tissierella creatinophila strain Kre4 16S ribosomal RNA gene, partial sequence
unassigned_1,gi|645322335|ref|NR_119111.1|,148,60,76.351,1.07e-22,43131,Tissierella praeacuta strain ATCC 25539 16S ribosomal RNA, partial sequence
unassigned_1,gi|645322335|ref|NR_119111.1|,24,60,87.500,6.8,43131,Tissierella praeacuta strain ATCC 25539 16S ribosomal RNA, partial sequence
unassigned_1,gi|343206268|ref|NR_044860.1|,148,60,76.351,1.07e-22,43131,Tissierella praeacuta strain NCTC 11158 16S ribosomal RNA, partial sequence
